date,category,tags,provider,comments,title,summary,articleUrl,imageUrl
20120101154803,society,산부인과|임신,이데일리,411,18세 이하 모든 산모에 120만원 지원,"[이데일리 정유진 기자] 만 18세 이하 모든 산모에게 임신, 출산 관련 의료비 120만원이 지원된다.보건복지부는 1일 ""청소년 산모 의료비 지원대상을 기존 `만 18세이하 미혼모자 시설 입소 산모`에서 이달부터 `만 18세 이하 산모`로 확대한다""고 밝혔다. 지원 형태도 `맘편한 카드(우리은행 발급)`라는 전용 카드를 산모가 신청해 발급받아 사용하는 ",http://v.media.daum.net/v/20120101154803935,
20120101123205,economic,여성혐오,아시아경제,349,남녀의 이상적인 키 차이? 男 10cm VS 女 15cm,"남성이 원하는 상대의 키는 실제 여성의 평균 신장과 비슷한 반면 여성은 평균보다 큰 남성을 선호해 이상적인 키에 대한 남녀의 시각차가 뚜렷한 것으로 나타났다.소셜 데이팅 서비스 이츄가 미혼남녀 797명(남 440명, 여 357명)을 대상으로 '연애와 키의 상관관계'에 대해 설문을 실시한 결과 남성은 평균 162cm의 여성을, 여성은 178cm인 남성을 ",http://v.media.daum.net/v/20120101123205160,http://t1.daumcdn.net/news/201201/02/akn/20120102093722407.jpg
20120101120207,economic,산부인과|임신,연합뉴스,321,18세이하 모든 산모 임신·출산비 지원,"'맘편한 카드' 발급(서울=연합뉴스) 신호경 기자 = 정부가 만 18세이하 어린 산모 모두에게 임신·출산 관련 의료비를 지원한다.보건복지부는 청소년 산모 의료비 지원대상을 기존 '만 18세이하 미혼모자 시설 입소 산모'에서 이달부터 '만 18세이하 산모'로 확대한다고 1일 밝혔다.지원 형태도 '맘편한 카드(우리은행)'라는 전용 카드를 산모가 신청, 발급",http://v.media.daum.net/v/20120101120207358,http://t1.daumcdn.net/news/201201/01/yonhap/20120101120207421.jpg
20120101210708,entertain,인권,뉴스엔,281,"[단독]오다기리 조, 사인논란 부산 식당 재방문 ‘직접 사과’","[뉴스엔 조연경 기자]오다기리 조의 한국 사랑이 제대로 증명됐다.오다기리 조는 12월 31일과 1월 1일, 연말과 새해 휴일을 모두 반납하고 영화 '마이웨이' 홍보 차 장동건 김인권 등 '마이웨이' 팀과 함께 부산과 대구 지역 무대 인사를 가졌다.1일 한 영화 관계자에 따르면 부산을 방문한 오다기리 조는 이 과정에서 관계자들이 말도 꺼내기 전에 먼저 자",http://v.media.daum.net/v/20120101210708841,http://t1.daumcdn.net/news/201201/01/newsen/20120101210708858.jpg
20120101120406,society,여성혐오,경향신문,246,조사 받던 폭행피해자 “새 출발 하자” 며 진술서 찢었다가 낭패,"폭행사건의 피해자가 경찰 조사과정에서 ""다 용서하겠다""며 진술서를 찢어 피의자로 다시 조사를 받는 신세가 됐다. 서울 광진경찰서는 1일 폭행을 당해 피해자로 조사를 받던 중 자신과 폭행 피의자들의 진술서를 찢은 혐의(공용문서손괴)로 최모씨(56)를 불구속 입건했다.최씨는 1일 새벽 3시쯤 광진구 자양동의 한 식당에서 술을 마시던 중 화장실에 다녀 온 사",http://v.media.daum.net/v/20120101120406583,
20120101140803,entertain,여성혐오,엑스포츠뉴스,229,"소녀시대 일반인 포스, 킬힐 벗으니 '각선미 실종'","▲ 소녀시대 일반인 포스 ⓒ SBS 방송화면[엑스포츠뉴스=방송연예팀 추민영 기자] 그룹 소녀시대의 각선미 실종 사진이 공개돼 화제다.지난 달 31일, 한 온라인커뮤니티에는 '소녀시대 일반인 포스, 하이힐의 중요성'이라는 제목으로 몇 장의 사진이 게재됐다.공개된 사진은 소녀시대가 과거에 한 경기장에서 공연을 하고 있는 모습으로, 멤버들 모두 똑같은 남방과",http://v.media.daum.net/v/20120101140803722,http://t1.daumcdn.net/news/201201/01/xportsnews/20120101140804003.jpg
20120101163706,economic,여성혐오,조선일보,226,"갤럭시탭 광고에 등장한 소녀, 알고보니 애플이…","삼성전자가 앙숙 애플의 아이폰4S 광고에 출연했던 소녀 모델을 자사의 갤럭시탭 광고에 투입했다. 애플 팬들은 ""그동안 애플 제품을 베껴온 삼성이 이제는 '광고의 느낌'까지 베끼려 한다""며 흥분하고 있다.삼성전자는 지난달 14일 국내에서 갤럭시탭 8.9 LTE 모델에 대한 TV 광고를 선보였다. 광고는 한 서양 여자 아이가 아빠와 함께 갤럭시탭으로 즐거운",http://v.media.daum.net/v/20120101163706780,http://t1.daumcdn.net/news/201201/01/chosun/20120101172203540.jpeg
20120101162909,society,인권,뉴시스,167,'故김근태 고문을 추모합니다'…남영동 대공분실에 조화,【서울=뉴시스】배민욱 기자 = 고(故) 김근태(64) 민주통합당 상임고문을 추모하기 위해 김 고문이 조사를 받던 취조실에 불을 켜두고 문앞 복도 테이블 위에 조화를 올려둔 것으로 알려졌다.현 경찰청 인권보호센터는 구 서울 남영동 대공분실이다. 고인이 과거에 고문을 당했던 장소다. 1987년에는 고 박종철 열사가 물고문으로 사망한 장소이기도 하다.사진은 ,http://v.media.daum.net/v/20120101162909625,http://t1.daumcdn.net/news/201201/01/newsis/20120101162909686.jpg
20120101172513,economic,여성혐오,파이낸셜뉴스,128,[FTA시대 개막] 한·미 FTA로 달라지는 생활,"　회사원 E씨는 최근 퇴근 후 마트에 들러 장보기가 한결 편안해졌다. 지난해 천정부지로 치솟던 물가로 장보기가 부담스러웠는데 올해부터는 한·미 자유무역협정(FTA) 발효로 서민생활에 큰 부분을 차지하던 식료품 가격이 대폭 떨어졌기 때문이다. E씨는 특히 남녀노소 누구나 즐겨 먹는 삼겹살과 아이들 간식을 비롯, 각종 요리재료로 사용되는 치즈 등을 주로 구",http://v.media.daum.net/v/20120101172513077,
20120101003505,politics,육아,연합뉴스,119,<2012 예산 확정…복지 늘리고 FTA 지원 강화>,"일자리 3천800억↑, 한미FTA 지원 3천억 증액복지지출 비중 28.5%…정부안보다 0.3%p 올라(서울=연합뉴스) 김용래 기자 = 국회는 서민 복지와 한·미 자유무역협정(FTA) 피해보전을 정부안보다 강화하는 것을 골자로 한 새해 예산을 31일 확정했다.국회 심의에서 재정지원 일자리와 사회보험료 확대, 0~2세 아동 무상보육 전면실시, 밭농업·수산업",http://v.media.daum.net/v/20120101003505043,
